@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs9" NUMERIC

@DATA
1.732E2,9.492E-1,?,6.505E2,2.073E-3,1.742E-1,?,1.31E2,?,?,?,2.705E-1,-6.365E-2,9.363E-2,4.349E-2,1.598E-2,-5.246E-2,7.34E-2,4.18E-2,6.314E-2,0E0,8.066E-1,1.489E2,5.836E3,-1.262E5,6.053E7,?,?,?,?,?,?,?,?,?,?
1.053E2,6.875E-1,?,7.188E2,1.16E-3,1.125E-1,?,9.6E1,?,?,?,-1.513E-1,5.295E-2,-1.001E-1,-1.364E-1,1.599E-1,-4.594E-2,2.104E-2,6.863E-2,-1.347E-2,0E0,5.418E-1,1.146E2,4.991E3,6.285E4,4.785E7,?,?,?,?,?,?,?,?,?,?
1.095E2,8.242E-1,?,6.197E2,2.308E-3,2.289E-1,?,1.1E2,?,?,?,-5.154E-2,-5.101E-2,-3.095E-2,-7.376E-2,-1.289E-1,5.116E-3,4.611E-3,-3.062E-2,-5.216E-2,0E0,1.21E0,1.193E2,5.999E3,5.645E4,6.353E7,?,?,?,?,?,?,?,?,?,?
1.387E2,8.32E-1,?,6.094E2,1.052E-3,1.093E-1,?,1.11E2,?,?,?,6.654E-2,-1.972E-2,3.07E-2,1.073E-1,-8.763E-2,1.187E-2,-3.88E-2,-7.33E-2,-6.535E-3,0E0,5.702E-1,1.338E2,5.198E3,-3.637E4,4.903E7,?,?,?,?,?,?,?,?,?,?
1.368E2,9.297E-1,?,6.356E2,1.404E-3,1.324E-1,?,1.18E2,?,?,?,-3.605E-2,3.243E-2,1.125E-1,-1.16E-2,-2.665E-2,5.029E-2,1.272E-1,2.642E-2,1.775E-1,0E0,6.269E-1,1.315E2,5.186E3,3.024E4,5.075E7,?,?,?,?,?,?,?,?,?,?
1.293E2,8.359E-1,?,7.276E2,1.162E-3,1.072E-1,?,1.25E2,?,?,?,7.96E-2,-5.162E-2,-7.48E-4,1.379E-1,3.999E-2,-6.631E-2,5.49E-2,1.06E-1,-8.049E-2,0E0,5.751E-1,1.289E2,5.291E3,2.123E3,4.957E7,?,?,?,?,?,?,?,?,?,?
1.328E2,8.594E-1,?,5.901E2,1.31E-3,1.075E-1,?,8.9E1,?,?,?,-4.533E-2,1.103E-2,6.286E-2,-8.307E-2,-1.196E-1,2.882E-2,-2.798E-2,4.409E-2,-5.333E-2,0E0,7.096E-1,1.302E2,5.676E3,-3.467E4,5.762E7,?,?,?,?,?,?,?,?,?,?
1.06E2,7.5E-1,?,7.28E2,1.361E-3,1.333E-1,?,9.9E1,?,?,?,-1.559E-1,6.26E-2,8.502E-2,-4.504E-2,-4.006E-2,-1.019E-2,-1.323E-1,-2.325E-2,7.092E-2,0E0,6.815E-1,1.159E2,5.177E3,1.048E5,5.133E7,?,?,?,?,?,?,?,?,?,?
1.548E2,9.453E-1,?,6.198E2,1.229E-3,1.069E-1,?,1.35E2,?,?,?,1.708E-1,-4.749E-2,6.259E-2,-1.775E-1,1.065E-1,-3.469E-2,-3.884E-2,2.663E-3,2.246E-2,0E0,5.41E-1,1.406E2,4.824E3,-1.168E4,4.648E7,?,?,?,?,?,?,?,?,?,?
1.276E2,8.672E-1,?,6.564E2,8.513E-4,8.037E-2,?,1.17E2,?,?,?,-8.077E-2,4.239E-3,-2.061E-2,-7.205E-2,-5.989E-2,1.11E-1,3.08E-2,-3.349E-3,-5.749E-2,0E0,4.548E-1,1.278E2,5.357E3,-6.229E2,5.299E7,?,?,?,?,?,?,?,?,?,?
